categoryName,name,description,price,quantity,sellerName,status
방탄소년단,BTS MAP OF THE SOUL 7 앨범,BTS 정규 4집 앨범입니다. 포토카드 포함 미개봉 새상품.,25000,3,판매자1,ON_SALE
방탄소년단,BTS 지민 포토카드 세트,지민 공식 포토카드 5장 세트. Butter 앨범 포카 포함.,15000,5,판매자1,ON_SALE
방탄소년단,BTS 공식 응원봉 ARMY BOMB,BTS 3세대 공식 응원봉. 블루투스 연동 가능.,45000,2,판매자1,ON_SALE
방탄소년단,BTS 윈터 패키지 2023,2023 시즌그리팅 윈터 패키지. 미개봉 풀박스.,55000,1,판매자1,ON_SALE
방탄소년단,BTS 정국 포토카드,정국 공식 포토카드 단품. BE 앨범 버전. 상태 A급.,8000,10,판매자1,ON_SALE
방탄소년단,BTS PROOF 앨범 콤팩트 버전,정규 앨범 PROOF 콤팩트 에디션. 포카 랜덤 포함.,28000,4,판매자2,ON_SALE
방탄소년단,RM 솔로 앨범 Indigo,RM 첫 솔로 앨범. 미개봉 새상품.,22000,6,판매자2,ON_SALE
방탄소년단,지민 FACE 앨범,지민 솔로 앨범 FACE. 포토북 포함.,21000,5,판매자2,ON_SALE
방탄소년단,정국 GOLDEN 앨범,정국 솔로 앨범 GOLDEN. 한정판 포토카드 포함.,23000,7,판매자2,ON_SALE
방탄소년단,BTS 슈가 D-DAY 앨범,슈가 솔로 앨범 D-DAY. 미개봉 상태.,22000,4,판매자2,ON_SALE
블랙핑크,블랙핑크 BORN PINK 앨범,블랙핑크 2집 정규앨범. 포토카드 랜덤 포함. 미개봉 새상품.,22000,4,판매자1,ON_SALE
블랙핑크,블랙핑크 제니 포토카드,제니 공식 포토카드. Pink Venom 버전. 상태 S급.,12000,6,판매자1,ON_SALE
블랙핑크,블랙핑크 공식 응원봉,블랙핑크 공식 응원봉 1세대. 정품 인증 완료.,50000,3,판매자1,ON_SALE
블랙핑크,블랙핑크 리사 포토카드,리사 공식 포토카드. LALISA 앨범 버전.,13000,8,판매자3,ON_SALE
블랙핑크,블랙핑크 로제 포토카드,로제 공식 포토카드. -R- 앨범 버전.,12500,7,판매자3,ON_SALE
블랙핑크,블랙핑크 지수 포토카드,지수 공식 포토카드. ME 앨범 버전.,13500,6,판매자3,ON_SALE
블랙핑크,블랙핑크 THE ALBUM,블랙핑크 정규 1집. 포토북 포함.,24000,5,판매자3,ON_SALE
블랙핑크,블랙핑크 SQUARE UP 앨범,미니 1집 SQUARE UP. 뚜두뚜두 수록.,18000,3,판매자3,ON_SALE
블랙핑크,블랙핑크 공식 인형 세트,블랙핑크 캐릭터 인형 4종 세트.,65000,2,판매자3,ON_SALE
블랙핑크,블랙핑크 시즌그리팅 2024,2024 시즌그리팅 풀세트. 미개봉.,48000,2,판매자4,ON_SALE
뉴진스,뉴진스 Get Up 앨범,뉴진스 1집 앨범 Get Up. 버니비치백 버전. 포토카드 포함.,20000,5,판매자1,ON_SALE
뉴진스,뉴진스 민지 포토카드,민지 공식 포토카드. OMG 앨범 버전. 상태 S급.,15000,4,판매자1,ON_SALE
뉴진스,뉴진스 공식 토끼 인형,뉴진스 공식 캐릭터 토끼 인형. 중형 사이즈. 미사용 새제품.,35000,2,판매자1,ON_SALE
뉴진스,뉴진스 OMG 앨범,뉴진스 싱글 OMG. 포토카드 랜덤 포함.,16000,6,판매자4,ON_SALE
뉴진스,뉴진스 하니 포토카드,하니 공식 포토카드. Ditto 버전.,14000,5,판매자4,ON_SALE
뉴진스,뉴진스 혜린 포토카드,혜린 공식 포토카드. Get Up 버전.,14500,6,판매자4,ON_SALE
뉴진스,뉴진스 다니엘 포토카드,다니엘 공식 포토카드. OMG 버전.,15500,4,판매자4,ON_SALE
뉴진스,뉴진스 해린 포토카드,해린 공식 포토카드. New Jeans 버전.,14000,7,판매자4,ON_SALE
뉴진스,뉴진스 공식 파우치,뉴진스 공식 굿즈 파우치. 토끼 디자인.,28000,10,판매자4,ON_SALE
뉴진스,뉴진스 New Jeans 앨범,데뷔 앨범 New Jeans. 미개봉 상태.,18000,4,판매자5,ON_SALE
